source	target	label	source_line
Categories of Log Schemes with Archimedean Structures.pdf	The Hodge-Arakelov Theory of Elliptic Curves.pdf	Mzk1	1726
Categories of Log Schemes with Archimedean Structures.pdf	The Scheme-theoretic Theta Convolution.pdf	Mzk2	1729
Classical roots of IUT (marked up version 2021-12-14).pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	588
Classical roots of IUT (marked up version 2021-12-14).pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	573
Classical roots of IUT (marked up version 2021-12-14).pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	576
Classical roots of IUT (marked up version 2021-12-14).pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	579
Classical roots of IUT (marked up version 2021-12-14).pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	582
Classical roots of IUT (marked up version 2021-12-14).pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	585
Combinatorial Anabelian Topics I.pdf	Combinatorial Cuspidalization.pdf	CmbCsp	8080
Combinatorial Anabelian Topics I.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	8076
Combinatorial Anabelian Topics I.pdf	Semi-graphs of Anabelioids.pdf	Semi	8074
Combinatorial Anabelian Topics II.pdf	Combinatorial Anabelian Topics I.pdf	CbTpI	10070
Combinatorial Anabelian Topics II.pdf	Combinatorial Cuspidalization.pdf	CmbCsp	10091
Combinatorial Anabelian Topics II.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	10085
Combinatorial Anabelian Topics II.pdf	Semi-graphs of Anabelioids.pdf	Semi	10083
Combinatorial Anabelian Topics III.pdf	Combinatorial Anabelian Topics I.pdf	CbTpI	7047
Combinatorial Anabelian Topics III.pdf	Combinatorial Anabelian Topics II.pdf	CbTpII	7051
Combinatorial Anabelian Topics III.pdf	Combinatorial Anabelian Topics IV.pdf	CbTpIV	7054
Combinatorial Anabelian Topics III.pdf	Combinatorial Cuspidalization.pdf	CmbCsp	7066
Combinatorial Anabelian Topics III.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	7064
Combinatorial Anabelian Topics III.pdf	Semi-graphs of Anabelioids.pdf	Semi	7062
Combinatorial Anabelian Topics IV.pdf	Combinatorial Anabelian Topics I.pdf	CbTpI	7391
Combinatorial Anabelian Topics IV.pdf	Combinatorial Anabelian Topics II.pdf	CbTpII	7395
Combinatorial Anabelian Topics IV.pdf	Combinatorial Anabelian Topics III.pdf	CbTpIII	7398
Combinatorial Anabelian Topics IV.pdf	Combinatorial Cuspidalization.pdf	CmbCsp	7420
Combinatorial Anabelian Topics IV.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	7414
Combinatorial Anabelian Topics IV.pdf	Semi-graphs of Anabelioids.pdf	Semi	7412
Combinatorial Cuspidalization.pdf	Semi-graphs of Anabelioids.pdf	Semi	4173
Combinatorial Grothendieck Conjecture (comments).pdf	Combinatorial Anabelian Topics II.pdf	CbTpII	169
Combinatorial Grothendieck Conjecture.pdf	Connections and Related Structures on the Universal Extension of an Elliptic Curve.PDF	Mzk3	1436
Combinatorial Grothendieck Conjecture.pdf	Semi-graphs of Anabelioids.pdf	Semi	1444
Combinatorial Grothendieck Conjecture.pdf	The Hodge-Arakelov Theory of Elliptic Curves.pdf	Mzk1	1432
Combinatorial Grothendieck Conjecture.pdf	The Scheme-theoretic Theta Convolution.pdf	Mzk2	1434
Combinatorial Section Conjecture and Pop-Stix.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	281
Combinatorial Section Conjecture and Pop-Stix.pdf	Semi-graphs of Anabelioids.pdf	Semi	279
Combinatorial absolute Galois groups.pdf	Absolute Anabelian Geometry.pdf	AbsAnab	5565
Combinatorial absolute Galois groups.pdf	Combinatorial Anabelian Topics I.pdf	CbTpI	5548
Combinatorial absolute Galois groups.pdf	Combinatorial Anabelian Topics II.pdf	CbTpII	5552
Combinatorial absolute Galois groups.pdf	Combinatorial Cuspidalization.pdf	CmbCsp	5575
Combinatorial absolute Galois groups.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	5571
Connections and Related Structures on the Universal Extension of an Elliptic Curve.pdf	Connections and Related Structures on the Universal Extension of an Elliptic Curve.PDF	Mzk3	4205
Connections and Related Structures on the Universal Extension of an Elliptic Curve.pdf	The Hodge-Arakelov Theory of Elliptic Curves.pdf	Mzk1	4201
Connections and Related Structures on the Universal Extension of an Elliptic Curve.pdf	The Scheme-theoretic Theta Convolution.pdf	Mzk2	4203
Correspondences on Hyperbolic Curves.pdf	Connections and Related Structures on the Universal Extension of an Elliptic Curve.PDF	Mzk3	784
Correspondences on Hyperbolic Curves.pdf	The Hodge-Arakelov Theory of Elliptic Curves.pdf	Mzk1	780
Correspondences on Hyperbolic Curves.pdf	The Scheme-theoretic Theta Convolution.pdf	Mzk2	782
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf	HASurI	8438
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Absolute Anabelian Geometry.pdf	AbsAnab	8442
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	8475
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Arithmetic Elliptic Curves in General Position.pdf	GenEll	8446
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Foundations (comments).pdf	pTch	8435
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	8450
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	8452
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	8454
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	8458
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	8472
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	The Etale Theta Function and its Frobenioid-theoretic Manifestations.pdf	EtTh	8444
Explicit estimates in IUTeich.pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	2969
Explicit estimates in IUTeich.pdf	Arithmetic Elliptic Curves in General Position.pdf	GenEll	2958
Explicit estimates in IUTeich.pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	2960
Explicit estimates in IUTeich.pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	2962
Explicit estimates in IUTeich.pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	2964
Explicit estimates in IUTeich.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	2966
Explicit estimates in IUTeich.pdf	The Etale Theta Function and its Frobenioid-theoretic Manifestations.pdf	EtTh	2954
Fibered products of Hopf algebras and Seifert-van Kampen theorem for semi-graphs of Tannakian categories.pdf	Semi-graphs of Anabelioids.pdf	Semi	1916
Formalization of IUT (2026-04).pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	689
Formalization of IUT (2026-04).pdf	Arithmetic Elliptic Curves in General Position.pdf	GenEll	651
Formalization of IUT (2026-04).pdf	Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	EssLgc	696
Formalization of IUT (2026-04).pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	676
Formalization of IUT (2026-04).pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	678
Formalization of IUT (2026-04).pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	680
Formalization of IUT (2026-04).pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	683
Formalization of IUT (2026-04).pdf	Semi-graphs of Anabelioids.pdf	Semi	636
Formalization of IUT (2026-04).pdf	The Etale Theta Function and its Frobenioid-theoretic Manifestations.pdf	EtTh	649
Formalization of IUT (2026-04).pdf	The Geometry of Frobenioids I.pdf	FrdI	645
Formalization of IUT (2026-04).pdf	The Geometry of Frobenioids II.pdf	FrdII	647
GT Theory as a Species of Teichmuller Theory.pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	656
GT Theory as a Species of Teichmuller Theory.pdf	Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	EssLgc	663
GT Theory as a Species of Teichmuller Theory.pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	646
GT Theory as a Species of Teichmuller Theory.pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	648
GT Theory as a Species of Teichmuller Theory.pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	650
GT Theory as a Species of Teichmuller Theory.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	653
Galois Sections.pdf	Connections and Related Structures on the Universal Extension of an Elliptic Curve.PDF	Mzk3	1288
Galois Sections.pdf	The Hodge-Arakelov Theory of Elliptic Curves.pdf	Mzk1	1284
Galois Sections.pdf	The Scheme-theoretic Theta Convolution.pdf	Mzk2	1286
Global Solvably Closed Anabelian Geometry.pdf	The Hodge-Arakelov Theory of Elliptic Curves.pdf	Mzk1	620
Global Solvably Closed Anabelian Geometry.pdf	The Scheme-theoretic Theta Convolution.pdf	Mzk2	622
IUT as an Anabelian Gateway (IUGC2024 version).pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	489
IUT as an Anabelian Gateway (IUGC2024 version).pdf	Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	EssLgc	496
IUT as an Anabelian Gateway (IUGC2024 version).pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	470
IUT as an Anabelian Gateway (IUGC2024 version).pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	472
IUT as an Anabelian Gateway (IUGC2024 version).pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	474
IUT as an Anabelian Gateway (IUGC2024 version).pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	477
IUT as an Anabelian Gateway (IUGC2024 version).pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	483
IUT as an Anabelian Gateway (IUT Summit 2025 version).pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	588
IUT as an Anabelian Gateway (IUT Summit 2025 version).pdf	Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	EssLgc	595
IUT as an Anabelian Gateway (IUT Summit 2025 version).pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	569
IUT as an Anabelian Gateway (IUT Summit 2025 version).pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	571
