"file","url","status","bytes","sha256"
"2016-05-24-6 Introduction to multiple zeta values (Yamashita).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-05-24-6%20Introduction%20to%20multiple%20zeta%20values%20(Yamashita).pdf","already-present","8251189","79599970B491B62145DF4D72087CBBD716A45075927932D67A01EA3FAD00622E"
"2016-09-13 Minamide on Configuration Space Groups (1).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-09-13%20Minamide%20on%20Configuration%20Space%20Groups%20(1).pdf","already-present","13944797","44D6290153AF3CF5453A0C1E6BD25035A0249989DF977711CA48EB9492FCF8E8"
"2016-09-13 Minamide on Configuration Space Groups (2).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-09-13%20Minamide%20on%20Configuration%20Space%20Groups%20(2).pdf","already-present","14459672","6FD4F9F281ED6750D89F948F78985B60E1FA4C78627404025F625FDD841A5E35"
"2016-09-13 Minamide on Configuration Space Groups (3).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-09-13%20Minamide%20on%20Configuration%20Space%20Groups%20(3).pdf","already-present","14252531","B29CC246183B398D99512A9AF4AF87D129D2CC4464CA1BC9C7147A49EA74D303"
"2016-09-13 Minamide on Configuration Space Groups (4).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-09-13%20Minamide%20on%20Configuration%20Space%20Groups%20(4).pdf","already-present","12946577","29DD378E096C20B739D988CED098E04BDFF3EE14C8D8BABB0D2BC0C26043AA53"
"2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2018-03-12%20Reconstruction%20of%20inertia%20groups%20associated%20to%20log%20divisors%20from%20a%20configuration%20space%20%20group%20equipped%20with%20log-full%20subgroups.pdf","already-present","229897","4407E4FADD3734D6F9E61B47AFE46A3DB6EA8A9974783A8449EC726830BC5867"
"2018-05-07 Geometric version of the Grothendieck Conjecutre for universal curves over Hurwitz stacks.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2018-05-07%20Geometric%20version%20of%20the%20Grothendieck%20Conjecutre%20for%20universal%20curves%20over%20Hurwitz%20stacks.pdf","already-present","478492","0175923AFCA956815AC3A6C2FD46C6F04DDDB2290D8A3B8AAB68B8580EB320E3"
"2018-06-25 Near Miss abc-Triples in General Number Fields.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2018-06-25%20Near%20Miss%20abc-Triples%20in%20General%20Number%20Fields.pdf","already-present","115653","1C118E4B7E4A667C49A85D49312776BCBFA98E4FDCA0D8BCF9DF4A191F82C292"
"2019-02-24 Near miss abc-triples in compactly bounded subsets.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2019-02-24%20Near%20miss%20abc-triples%20in%20compactly%20bounded%20subsets.pdf","already-present","204092","8D18BB794A4F0B1C0CD173F1915224AFD4BC4A4666889E48583ED007D3A7090E"
"2020-11 Classical roots of IUT (Abstract).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2020-11%20Classical%20roots%20of%20IUT%20(Abstract).pdf","already-present","47379","447E29CD8F77D60252AC19BBCE476EAB516E63D6B4FEDC35CCC8F109590E9D46"
"2020-11 Classical roots of IUT (marked up version).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2020-11%20Classical%20roots%20of%20IUT%20(marked%20up%20version).pdf","already-present","859539","5437958E745BCBAD44EA6CC11F91E246E37590B90A1E63D1EFB94F019EE191F5"
"2020-11 Classical roots of IUT.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2020-11%20Classical%20roots%20of%20IUT.pdf","already-present","250301","D5F3952A30819E169E334D578B25A82CE49038CDB707ED73B9BB24D44416066F"
"2023-08 Brief report on the current situation surrounding inter-universal Teichmuller theory (IUT).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2023-08%20Brief%20report%20on%20the%20current%20situation%20surrounding%20inter-universal%20Teichmuller%20theory%20(IUT).pdf","already-present","165736","D7FCF6AFC1E29B7CCF114A9EED0BAE9BCF296220AE7B143AC6600AE1EC6763F4"
"2024-04 Announcement on the occasion of the awarding of the IUT Innovator Prize (Japanese).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2024-04%20Announcement%20on%20the%20occasion%20of%20the%20awarding%20of%20the%20IUT%20Innovator%20Prize%20(Japanese).pdf","already-present","200231","9CA4550493511E744F910F3494C2FA511D49CCA5D1CE95D10185D379FE292F7E"
